species	nb_reactions	nb_reactions_with_genes	nb_genes	nb_compounds	nb_pathways
MB2bin51	1527	1204	2227	1778	209
MB2bin335	1891	1502	2957	2082	270
MB2bin209	1464	1146	1879	1704	192
MB2bin189	1976	1595	2823	2199	269
MB2bin58	1591	1280	3266	1838	217
MB2bin165	1585	1270	3114	1800	229
MB2bin67	1445	1161	2174	1746	189
MB2bin45	1551	1214	2441	1808	216
MB2bin215	1613	1225	2203	1859	210
MB2bin216	1730	1366	2686	2020	220
MB2bin74	1709	1371	2443	1945	247
MB2bin158	1511	1187	1654	1781	196
MB2bin11	1800	1465	3686	2083	249
MB2bin267	1310	1054	1665	1569	192
MB2bin284	1350	1083	1859	1643	167
MB2bin323	1297	1003	1514	1533	198
MB2bin269	1616	1267	2282	1881	209
MB2bin343	1592	1266	2114	1809	211
MB2bin245	1503	1198	1607	1730	208
MB2bin236	1622	1290	2067	1842	210
MB2bin20	1825	1449	2884	2044	263
MB2bin205	1957	1582	3343	2187	260
MB2bin188	1917	1495	3587	2135	252
