compounds	producers_nb
M_UDP__45__MANNAC_c	230
M_PHOSPHORIBULOSYL__45__FORMIMINO__45__AICAR__45__P_c	1243
M_D__45__GLT_c	1479
M_CPD__45__14555_c	1
M_D__45__RIBULOSE__45__15__45__P2_c	121
M_CPD__45__618_c	6
M_Starch_c	1520
M_N__45__FORMYLKYNURENINE_c	4
M_DUDP_c	4
M_THREO__45__3__45__HYDROXY__45__L__45__ASPARTATE_c	1
M_AMINO__45__RIBOSYLAMINO__45__1H__45__3H__45__PYR__45__DIONE_c	693
M_ISOCHORISMATE_c	366
M_CPD__45__12173_c	8
M_DEOXYCYTIDINE_c	9
M_MANNOSE_c	24
M_DEHYDROQUINATE_c	1229
M_DIMETHYL__45__D__45__RIBITYL__45__LUMAZINE_c	624
M_R__45__4__45__PHOSPHOPANTOTHENOYL__45__L__45__CYSTEINE_c	392
M_ADP__45__D__45__GLUCOSE_c	993
M_CPD__45__10773_c	31
M_2__45__KETO__45__GLUTARAMATE_c	15
M_2C__45__METH__45__D__45__ERYTHRITOL__45__CYCLODIPHOSPHATE_c	612
M_DEOXYURIDINE_c	21
M_CPD__45__827_c	28
M_PROPIONATE_c	189
M_GLUCOSAMINE__45__1P_c	1353
M_G3P_c	1450
M_XANTHINE_c	956
M_CPD__45__6972_c	223
M_DEPHOSPHO__45__COA_c	392
M_CPD__45__187_c	10
M_CPD__45__9550_c	1
M_ALPHA__45__D__45__GALACTOSE_c	22
M_SUPER__45__OXIDE_c	304
